unique_key,created_date,complaint_type,borough,district,agency,supervisor,status,closed_date,hours_open,sla_hours,sla_breach,resolution_description
SR-2026-20000000,2026-09-14T12:11:13,UNSANITARY CONDITION,BROOKLYN,Crown Heights,HPD,Director Priya Nair,Open,,8.2,168,NO,
SR-2026-20000001,2026-09-07T17:33:13,Blocked Driveway,QUEENS,Forest Hills,NYPD,Lt. Marcus Webb,Closed,2026-09-08T08:50:56,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000002,2026-09-10T19:51:13,Street Condition,MANHATTAN,Chelsea,DOT,Dir. Samantha Chen,Closed,2026-09-13T07:30:08,,72,NO,A work order was issued for repair.
SR-2026-20000003,2026-09-13T23:49:17,Noise - Residential,MANHATTAN,Harlem,NYPD,Lt. Marcus Webb,Closed,2026-09-14T17:44:02,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000004,2026-09-14T19:51:13,Blocked Driveway,STATEN ISLAND,Stapleton,NYPD,Lt. Marcus Webb,Open,,0.5,24,NO,
SR-2026-20000005,2026-09-14T08:21:13,PLUMBING,STATEN ISLAND,Tottenville,HPD,Director Priya Nair,Open,,12.0,168,NO,
SR-2026-20000006,2026-09-12T12:34:29,UNSANITARY CONDITION,BRONX,Fordham,HPD,Director Priya Nair,Closed,2026-09-14T18:06:24,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000007,2026-09-09T17:33:13,PAINT/PLASTER,QUEENS,Jackson Heights,HPD,Director Priya Nair,Closed,2026-09-11T20:42:55,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000008,2026-09-10T04:00:01,HEAT/HOT WATER,QUEENS,Flushing,HPD,Director Priya Nair,Closed,2026-09-14T12:42:25,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000009,2026-09-14T17:56:13,Noise - Commercial,MANHATTAN,Harlem,NYPD,Lt. Marcus Webb,Open,,2.4,24,NO,
SR-2026-20000010,2026-09-07T02:46:06,HEAT/HOT WATER,BRONX,Mott Haven,HPD,Director Priya Nair,Closed,2026-09-14T18:22:30,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000011,2026-09-14T06:26:13,HEAT/HOT WATER,BROOKLYN,Williamsburg,HPD,Director Priya Nair,Open,,13.9,168,NO,
SR-2026-20000012,2026-09-13T23:34:39,Water System,BROOKLYN,Flatbush,DEP,Mgr. Yvonne Blake,Closed,2026-09-14T14:24:20,,48,NO,The condition was investigated and corrected.
SR-2026-20000013,2026-09-12T03:45:13,Noise - Commercial,QUEENS,Astoria,NYPD,Lt. Marcus Webb,Closed,2026-09-13T02:34:35,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000014,2026-09-14T02:36:13,HEAT/HOT WATER,BROOKLYN,Flatbush,HPD,Director Priya Nair,Open,,17.8,168,NO,
SR-2026-20000015,2026-09-09T01:27:13,Blocked Driveway,BRONX,Fordham,NYPD,Lt. Marcus Webb,Closed,2026-09-09T21:51:39,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000016,2026-09-14T16:01:13,Blocked Driveway,BRONX,Fordham,NYPD,Lt. Marcus Webb,Open,,4.3,24,NO,
SR-2026-20000017,2026-09-14T14:06:13,Noise - Residential,QUEENS,Astoria,NYPD,Lt. Marcus Webb,Open,,6.2,24,NO,
SR-2026-20000018,2026-09-08T17:33:13,Elevator,MANHATTAN,Inwood,DOB,Insp. Tony Marchetti,Closed,2026-09-10T20:41:36,,96,NO,A building inspector was dispatched and the condition was addressed.
SR-2026-20000019,2026-09-13T22:24:33,Illegal Parking,MANHATTAN,Inwood,NYPD,Lt. Marcus Webb,Closed,2026-09-14T12:04:35,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000020,2026-09-10T19:22:59,Noise - Commercial,MANHATTAN,East Village,NYPD,Lt. Marcus Webb,Open,,97.0,24,YES,
SR-2026-20000021,2026-09-07T21:33:22,PAINT/PLASTER,MANHATTAN,East Village,HPD,Director Priya Nair,Closed,2026-09-14T19:46:32,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000022,2026-09-14T12:11:13,Noise - Residential,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Open,,8.2,24,NO,
SR-2026-20000023,2026-09-08T03:22:59,Derelict Vehicle,STATEN ISLAND,Stapleton,NYPD,Lt. Marcus Webb,Open,,161.0,24,YES,
SR-2026-20000024,2026-09-14T10:16:13,Illegal Parking,BRONX,Riverdale,NYPD,Lt. Marcus Webb,Open,,10.1,24,NO,
SR-2026-20000025,2026-09-10T17:22:59,Graffiti,BRONX,Tremont,DSNY,Supt. Carlos Rivera,Open,,99.0,48,YES,
SR-2026-20000026,2026-09-09T15:15:13,Derelict Vehicle,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Closed,2026-09-10T05:32:33,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000027,2026-09-11T12:57:13,Blocked Driveway,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Closed,2026-09-12T02:28:17,,24,NO,The Police Department responded to the complaint and took action.
SR-2026-20000028,2026-09-13T21:50:17,Non-Emergency Police Matter,BRONX,Riverdale,NYPD,Lt. Marcus Webb,Closed,2026-09-14T09:01:27,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000029,2026-09-14T00:38:15,Noise - Street/Sidewalk,BRONX,Riverdale,NYPD,Lt. Marcus Webb,Closed,2026-09-14T19:51:13,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000030,2026-09-11T23:26:04,PAINT/PLASTER,STATEN ISLAND,Stapleton,HPD,Director Priya Nair,Closed,2026-09-14T17:16:21,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000031,2026-09-14T11:07:33,Noise - Residential,MANHATTAN,Harlem,NYPD,Lt. Marcus Webb,Closed,2026-09-14T18:33:22,,24,NO,"Upon arrival, the condition was no longer present."
SR-2026-20000032,2026-09-10T03:37:43,UNSANITARY CONDITION,BROOKLYN,Williamsburg,HPD,Director Priya Nair,Closed,2026-09-14T04:02:44,,168,NO,The building owner was notified and corrected the condition.
SR-2026-20000033,2026-09-13T09:56:35,Street Light Condition,BROOKLYN,Bed-Stuy,DOT,Dir. Samantha Chen,Closed,2026-09-14T18:23:57,,72,NO,A work order was issued for repair.
SR-2026-20000034,2026-09-14T16:01:13,HEAT/HOT WATER,BROOKLYN,Flatbush,HPD,Director Priya Nair,Open,,4.3,168,NO,
SR-2026-20000035,2026-09-14T14:06:13,HEAT/HOT WATER,QUEENS,Forest Hills,HPD,Director Priya Nair,Open,,6.2,168,NO,
SR-2026-20000036,2026-09-14T12:11:13,Water System,BROOKLYN,Bushwick,DEP,Mgr. Yvonne Blake,Open,,8.2,48,NO,
SR-2026-20000037,2026-09-07T19:51:13,HEAT/HOT WATER,BRONX,Fordham,HPD,Director Priya Nair,Closed,2026-09-10T05:21:05,,168,NO,An inspection was conducted and a violation was issued.
SR-2026-20000038,2026-09-08T19:51:13,Street Condition,QUEENS,Astoria,DOT,Dir. Samantha Chen,Closed,2026-09-11T06:29:04,,72,NO,The Department of Transportation inspected and corrected the condition.
SR-2026-20000039,2026-09-12T01:27:13,Blocked Driveway,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Closed,2026-09-12T22:43:38,,24,NO,The Police Department responded to the complaint and took action.
